Year,CAR,NEA,NEF,NPL,NWP,Total
2000,12.74511589,7.984614944,7.360547302,8.293184365,7.332173186,7.581941412
2000,9.103654207,6.142011495,5.786230913,6.785332663,5.85013818,6.005548496
2000,12.74511589,6.483234356,5.852170867,6.959315551,6.396151077,6.183528342
2000,7.282923365,5.937277779,5.489501123,6.640346922,6.084143707,5.807228097
2000,14.56584673,6.210256067,5.62138103,6.843326959,5.889139101,5.939441697
2000,10.92438505,5.800788634,5.341136228,6.495361181,6.006141865,5.680099636
2000,14.56584673,5.800788634,5.538956088,6.872324107,5.733135417,5.842824066
2000,16.38657757,5.66429949,5.291681263,6.901321255,6.006141865,5.725865882
2000,12.74511589,5.66429949,5.324651239,6.785332663,5.772136338,5.685184775
2000,18.20730841,6.142011495,5.835685879,7.220289884,6.045142786,6.163187788
2000,10.92438505,6.005522351,5.695563478,7.017309848,6.084143707,6.015718773
2000,21.8487701,6.687968072,6.256053082,7.858227143,6.669157526,6.666616493
2001,21.65674066,6.329915179,6.357615459,8.066889019,6.731284388,6.74640703
2001,10.82837033,5.703879612,5.635718478,6.84815039,6.105118398,5.92850678
2001,12.63309872,5.982117642,6.15253109,7.399484532,6.418201393,6.411118729
2001,7.218913554,6.051677149,5.58649823,6.906185563,6.379066019,5.958987535
2001,12.63309872,6.190796164,5.602904979,7.022255908,6.183389147,5.98946829
2001,14.43782711,5.634320105,5.488057732,6.761097631,5.870306152,5.79642351
2001,16.2425555,5.634320105,5.430634109,6.761097631,5.987712275,5.781183133
2001,16.2425555,5.286522567,5.537277981,6.761097631,6.02684765,5.826904265
2001,9.023641942,5.425641582,5.168126115,6.877167976,5.870306152,5.588138353
2001,16.2425555,5.703879612,5.693142102,7.341449359,6.457336767,6.111391308
2001,14.43782711,6.051677149,5.479854357,7.051273495,5.987712275,5.887865774
2001,12.63309872,6.121236657,5.890023097,7.138326254,6.653013639,6.243474578
2002,12.44488693,6.221191641,6.00560403,7.371719079,6.672797217,6.365406975
2002,10.66704594,5.797019484,5.563774851,6.562275416,6.080537109,5.837073116
2002,14.22272792,6.291887001,5.948329878,7.313901675,6.830733246,6.350166575
2002,12.44488693,6.291887001,5.277404087,6.99590595,6.238473138,5.79643205
2002,14.22272792,6.079800922,5.449226545,6.966997247,6.041053102,5.862473782
2002,16.00056891,5.726324124,5.072853541,6.562275416,5.567245015,5.476383654
